id,district,primary_crop,year,month,day_of_year,season,is_kharif,is_rabi,rainfall_mm,temperature_c,humidity_pct,dam_level_pct,groundwater_level_m,crop_price_inr_qtl,price_volatility,msp_gap_inr,subsidy_delay_days,insurance_claim_rate,pm_kisan_coverage,complaint_count,distress_news_score,water_stress_index,market_stress_index,gov_failure_score,risk_score,risk_label,risk_category
141,Bidar,Sorghum,2024,6,14,Kharif,1,0,71.5,35.0,55.1,24.5,6.4,3040,346.9,857,25,0.595,0.558,8,29.9,84.5,34.7,34.6,27.1,1,Alert
142,Haveri,Cotton,2024,12,337,Rabi,0,1,8.5,28.6,70.8,53.0,43.2,6907,832.9,4724,100,0.353,0.746,6,12.5,51.9,83.3,62.7,32.6,1,Alert
143,Mysuru,Paddy,2022,4,346,Summer,0,0,18.5,37.6,83.6,44.5,30.4,2243,291.7,60,28,0.24,0.848,6,35.4,62.5,29.2,21.6,21.1,0,Safe
144,Raichur,Paddy,2023,7,288,Kharif,1,0,30.2,33.0,51.7,12.3,30.1,2216,258.2,33,77,0.74,0.516,9,22.8,78.8,25.8,62.7,42.8,1,Alert
145,Raichur,Paddy,2024,10,316,Summer,0,0,52.8,33.5,40.9,28.8,33.7,2145,302.0,-38,36,0.667,0.51,8,39.2,68.8,30.6,42.5,25.6,1,Alert
146,Mandya,Sugarcane,2022,5,214,Summer,0,0,67.5,38.7,63.4,31.5,32.4,3635,317.2,1452,0,0.279,0.723,4,18.2,68.0,31.7,13.9,19.7,0,Safe
147,Bangalore Rural,Tomato,2024,11,283,Rabi,0,1,51.6,32.7,65.7,29.0,32.6,643,71.6,-1540,2,0.301,0.607,3,15.9,69.2,22.6,20.7,12.5,0,Safe
148,Vijayapura,Soybean,2022,7,180,Kharif,1,0,33.6,28.8,56.0,27.9,16.7,4737,516.9,2554,55,0.576,0.653,6,27.2,77.7,51.7,44.9,34.3,1,Alert
149,Hassan,Paddy,2023,7,141,Kharif,1,0,49.4,31.2,61.5,47.1,37.6,2220,232.0,37,3,0.277,0.754,3,0.2,57.6,23.2,13.8,21.2,0,Safe
150,Dharwad,Cotton,2024,7,159,Kharif,1,0,60.6,37.2,78.6,29.6,38.7,6808,928.9,4625,13,0.326,0.619,8,7.7,65.8,92.9,25.6,31.0,1,Alert
151,Ramanagara,Ragi,2024,10,106,Summer,0,0,130.2,35.7,75.4,38.1,55.6,3609,507.3,1426,43,0.197,0.731,5,10.7,53.1,50.7,35.0,26.3,1,Alert
152,Tumkuru,Groundnut,2024,11,41,Rabi,0,1,29.9,28.5,75.3,55.7,43.4,6190,752.3,4007,45,0.405,0.718,7,34.4,50.5,75.2,36.6,20.5,0,Safe
153,Bengaluru,Tomato,2023,5,216,Summer,0,0,91.4,36.5,59.7,14.2,19.7,821,125.5,-1362,30,0.186,0.55,3,16.8,83.0,26.2,37.5,17.4,0,Safe
154,Dharwad,Cotton,2022,4,104,Summer,0,0,21.3,37.6,55.6,26.8,23.3,6671,834.3,4488,33,0.404,0.707,3,29.2,75.0,83.4,31.2,28.0,1,Alert
155,Tumkuru,Groundnut,2023,6,288,Kharif,1,0,80.2,42.4,62.6,21.1,34.9,6002,691.2,3819,3,0.336,0.666,10,15.7,72.0,69.1,18.2,32.3,1,Alert
156,Mysuru,Paddy,2022,3,131,Summer,0,0,21.5,38.9,79.3,52.7,28.7,2299,295.2,116,28,0.221,0.785,5,29.9,59.3,29.5,24.8,29.8,1,Alert
157,Davangere,Paddy,2023,3,299,Summer,0,0,15.6,36.4,70.7,44.3,31.9,2386,281.7,203,17,0.302,0.693,7,25.6,61.9,28.2,23.9,23.0,0,Safe
158,Kolar,Tomato,2024,12,51,Rabi,0,1,8.5,32.4,56.6,33.2,45.1,653,132.9,-1530,24,0.401,0.707,7,31.3,60.8,28.6,26.7,11.3,0,Safe
159,Mandya,Sugarcane,2023,3,348,Summer,0,0,7.9,33.3,51.9,36.6,28.8,3435,471.7,1252,4,0.32,0.727,5,19.5,67.3,47.2,15.7,23.9,0,Safe
160,Gadag,Wheat,2024,1,218,Rabi,0,1,4.4,30.8,58.5,33.6,34.7,2149,288.1,-34,5,0.585,0.675,9,17.3,65.8,29.2,18.7,17.3,0,Safe
161,Udupi,Paddy,2023,2,292,Rabi,0,1,13.8,30.7,80.5,66.3,39.9,2393,244.3,210,11,0.099,0.851,2,9.6,46.9,24.4,13.0,15.2,0,Safe
162,Udupi,Paddy,2024,5,258,Summer,0,0,257.5,28.3,88.3,46.4,28.0,2416,254.6,233,0,0.018,0.818,4,20.7,62.8,25.5,9.1,15.9,0,Safe
163,Uttara Kannada,Paddy,2023,6,25,Kharif,1,0,123.7,28.8,78.3,47.6,28.9,2199,216.9,16,6,0.155,0.737,4,14.2,61.8,21.7,16.1,19.0,0,Safe
164,Chamarajanagar,Ragi,2023,3,111,Summer,0,0,10.1,36.4,72.0,39.3,24.0,4384,488.6,2201,70,0.234,0.669,8,25.0,68.3,48.9,51.5,35.5,1,Alert
165,Vijayapura,Soybean,2022,9,279,Kharif,1,0,83.2,30.8,68.2,50.6,27.3,4670,462.3,2487,4,0.509,0.597,7,21.3,61.0,46.2,22.2,24.0,0,Safe
166,Raichur,Paddy,2022,7,175,Kharif,1,0,68.5,34.7,44.5,23.4,24.5,2244,244.2,61,167,0.605,0.449,11,52.4,76.0,24.4,111.0,27.3,1,Alert
167,Davangere,Paddy,2023,7,150,Kharif,1,0,78.0,33.2,54.6,41.8,43.0,2029,217.3,-154,29,0.447,0.679,6,0.0,57.6,23.3,30.5,21.1,0,Safe
168,Mysuru,Paddy,2024,4,134,Summer,0,0,25.9,39.8,63.0,37.9,25.6,2357,220.1,174,61,0.2,0.706,2,1.3,68.2,22.0,45.2,16.3,0,Safe
169,Kodagu,Coffee,2022,11,38,Rabi,0,1,68.0,18.0,70.4,89.1,41.4,9184,1126.9,7001,2,0.108,0.738,3,0.0,34.8,112.7,14.1,22.8,0,Safe
170,Bangalore Rural,Tomato,2022,9,42,Kharif,1,0,109.9,33.3,59.1,27.3,27.9,642,104.9,-1541,29,0.413,0.588,2,0.0,72.4,25.9,35.1,18.1,0,Safe
171,Raichur,Paddy,2022,12,329,Rabi,0,1,2.6,37.6,51.7,32.3,27.0,2245,227.7,62,72,0.739,0.433,7,52.1,70.3,22.8,64.3,29.8,1,Alert
172,Mandya,Sugarcane,2022,12,308,Rabi,0,1,5.1,36.6,67.3,61.6,47.5,3141,332.0,958,1,0.255,0.702,6,8.6,45.5,33.2,15.4,18.6,0,Safe
173,Raichur,Paddy,2024,5,214,Summer,0,0,23.8,38.3,59.8,11.9,17.4,2391,293.8,208,136,0.673,0.521,5,39.6,85.3,29.4,92.0,46.1,1,Alert
174,Vijayapura,Soybean,2022,10,191,Summer,0,0,52.4,34.3,66.0,48.5,44.8,4368,572.5,2185,14,0.521,0.57,2,16.9,53.4,57.2,28.5,25.8,1,Alert
175,Koppal,Paddy,2024,6,222,Kharif,1,0,71.8,34.2,53.4,25.1,32.2,2064,323.5,-119,8,0.527,0.62,15,27.1,71.3,33.5,23.0,20.2,0,Safe
176,Ballari,Cotton,2023,2,206,Rabi,0,1,4.4,34.6,58.1,39.7,27.3,6710,868.0,4527,5,0.537,0.668,8,25.3,66.5,86.8,19.1,27.8,1,Alert
177,Raichur,Paddy,2024,7,192,Kharif,1,0,29.9,37.0,56.8,18.1,14.8,2340,333.8,157,45,0.716,0.495,11,27.7,83.6,33.4,47.8,33.3,1,Alert
178,Mandya,Sugarcane,2023,9,265,Kharif,1,0,47.9,36.3,89.3,63.0,29.9,3395,426.8,1212,7,0.332,0.735,3,29.8,53.5,42.7,16.8,31.7,1,Alert
179,Vijayapura,Soybean,2022,10,228,Summer,0,0,87.5,34.0,65.3,43.5,37.0,4576,533.6,2393,57,0.57,0.645,3,30.9,59.8,53.4,46.2,23.6,0,Safe
180,Ramanagara,Ragi,2023,7,193,Kharif,1,0,110.6,34.0,73.3,26.7,39.4,3736,492.0,1553,3,0.274,0.672,2,19.7,67.0,49.2,17.9,16.0,0,Safe
181,Udupi,Paddy,2024,7,319,Kharif,1,0,143.0,23.4,78.2,71.8,37.1,2302,302.6,119,6,0.041,0.782,0,16.8,45.5,30.3,13.9,19.4,0,Safe
182,Ballari,Cotton,2022,5,16,Summer,0,0,32.8,39.5,57.9,22.9,19.7,7521,831.0,5338,17,0.469,0.59,6,36.5,78.7,83.1,29.0,44.0,1,Alert
183,Dharwad,Cotton,2022,4,239,Summer,0,0,20.2,38.2,53.9,17.4,21.9,7369,832.7,5186,129,0.4,0.633,5,24.8,80.3,83.3,82.8,46.2,1,Alert
184,Bangalore Rural,Tomato,2024,2,105,Rabi,0,1,9.3,31.6,56.5,18.6,44.5,669,95.9,-1514,4,0.379,0.632,5,34.2,68.5,24.7,20.4,16.7,0,Safe
185,Tumkuru,Groundnut,2023,1,187,Rabi,0,1,4.2,33.7,72.1,34.9,36.6,5976,748.7,3793,5,0.314,0.714,3,21.6,64.2,74.9,16.8,24.9,0,Safe
186,Koppal,Paddy,2022,9,273,Kharif,1,0,57.5,37.6,53.1,46.8,31.1,2436,325.8,253,94,0.509,0.561,8,24.4,61.1,32.6,68.9,20.4,0,Safe
187,Koppal,Paddy,2024,5,19,Summer,0,0,50.1,36.8,50.8,27.3,31.0,2202,280.7,19,49,0.44,0.599,10,18.5,70.8,28.1,44.5,22.9,0,Safe
188,Ramanagara,Ragi,2022,8,348,Kharif,1,0,52.7,33.6,84.8,28.3,39.5,3594,455.6,1411,14,0.279,0.641,5,18.7,66.1,45.6,24.9,28.4,1,Alert
189,Hassan,Paddy,2023,8,98,Kharif,1,0,75.1,39.5,62.3,57.3,34.9,2117,259.9,-66,55,0.291,0.677,9,7.1,53.9,26.6,43.7,14.0,0,Safe
190,Bengaluru,Tomato,2024,8,48,Kharif,1,0,101.2,30.7,71.3,32.4,26.9,681,115.5,-1502,3,0.214,0.573,5,16.6,70.3,26.6,22.9,19.0,0,Safe
191,Chitradurga,Groundnut,2023,7,14,Kharif,1,0,44.6,37.5,59.8,18.6,34.6,6128,776.5,3945,47,0.487,0.669,6,16.1,73.4,77.7,40.0,35.3,1,Alert
192,Bidar,Sorghum,2022,12,2,Rabi,0,1,5.1,28.1,61.2,26.3,38.1,3072,341.5,889,42,0.579,0.535,9,0.3,67.8,34.1,44.2,21.0,0,Safe
193,Dharwad,Cotton,2023,7,145,Kharif,1,0,57.6,35.4,73.5,25.7,24.8,6896,816.8,4713,45,0.495,0.609,7,19.2,74.8,81.7,42.0,34.8,1,Alert
194,Haveri,Cotton,2023,8,343,Kharif,1,0,113.2,37.6,63.7,41.6,21.3,6842,835.2,4659,12,0.452,0.777,3,41.3,68.5,83.5,17.1,31.9,1,Alert
195,Kalaburagi,Soybean,2023,4,210,Summer,0,0,12.8,32.3,50.8,20.4,24.8,5047,557.5,2864,32,0.6,0.532,6,41.8,77.4,55.8,39.4,36.2,1,Alert
196,Dharwada,Cotton,2023,6,127,Kharif,1,0,77.2,36.2,65.6,19.1,26.7,7101,896.1,4918,33,0.408,0.718,7,8.2,77.1,89.6,30.6,28.9,1,Alert
197,Yadgir,Paddy,2023,5,65,Summer,0,0,51.4,37.6,41.2,9.8,28.1,2385,256.3,202,1,0.654,0.487,10,23.1,81.1,25.6,26.2,29.2,1,Alert
198,Uttara Kannada,Paddy,2022,7,200,Kharif,1,0,100.3,26.7,60.8,61.1,34.1,2171,258.7,-12,20,0.104,0.692,5,2.1,52.4,26.0,25.4,33.1,1,Alert
199,Vijayapura,Soybean,2024,2,28,Rabi,0,1,4.4,31.4,55.3,31.6,24.9,4881,560.9,2698,42,0.575,0.608,4,13.2,71.8,56.1,40.6,31.7,1,Alert
200,Udupi,Paddy,2024,8,299,Kharif,1,0,288.3,30.6,76.1,77.9,53.8,2226,279.3,43,8,0.0,0.769,2,2.1,34.1,27.9,15.5,16.0,0,Safe
201,Dharwad,Cotton,2024,1,312,Rabi,0,1,6.8,32.9,59.6,36.5,34.2,7268,772.0,5085,6,0.48,0.68,4,42.9,64.7,77.2,19.0,27.1,1,Alert
202,Chitradurga,Groundnut,2022,2,55,Rabi,0,1,4.4,36.0,61.7,34.7,27.2,6173,765.9,3990,1,0.431,0.636,5,25.9,69.0,76.6,18.7,35.9,1,Alert
203,Koppal,Paddy,2023,1,108,Rabi,0,1,5.7,32.3,57.1,42.4,43.5,2201,271.3,18,121,0.443,0.602,6,22.5,57.0,27.1,80.4,23.1,0,Safe
204,Shivamogga,Paddy,2022,3,127,Summer,0,0,23.3,34.8,70.9,52.8,47.1,2462,233.1,279,34,0.107,0.728,7,35.4,50.0,23.3,30.6,20.1,0,Safe
205,Dharwada,Cotton,2022,3,325,Summer,0,0,25.3,43.7,54.6,29.1,53.1,7530,836.0,5347,150,0.428,0.619,6,48.0,58.9,83.6,94.0,41.5,1,Alert
206,Yadgir,Paddy,2023,3,283,Summer,0,0,12.5,42.8,49.8,11.6,20.9,2356,195.3,173,152,0.76,0.354,10,30.4,83.8,19.5,108.3,36.7,1,Alert
207,Chitradurga,Groundnut,2024,3,82,Summer,0,0,7.9,35.9,44.1,19.4,45.5,6946,765.6,4763,14,0.381,0.634,9,11.0,67.5,76.6,25.3,38.0,1,Alert
208,Dharwad,Cotton,2024,12,119,Rabi,0,1,10.8,32.0,62.0,51.2,33.8,7293,824.3,5110,36,0.411,0.696,3,28.6,57.5,82.4,33.2,27.3,1,Alert
209,Bangalore Rural,Tomato,2024,10,88,Summer,0,0,68.7,33.0,78.6,31.6,37.2,661,34.4,-1522,21,0.263,0.647,6,6.4,65.6,18.7,28.1,15.0,0,Safe
210,Bidar,Sorghum,2024,11,22,Rabi,0,1,13.3,35.5,53.7,34.4,23.1,2970,399.7,787,97,0.7,0.583,10,1.9,71.2,40.0,69.3,34.0,1,Alert
211,Kodagu,Coffee,2024,9,20,Kharif,1,0,136.4,20.4,67.0,77.4,35.7,9725,1152.7,7542,18,0.089,0.813,4,7.3,43.4,115.3,18.4,37.8,1,Alert
212,Bengaluru,Tomato,2022,5,243,Summer,0,0,63.7,38.1,53.7,17.6,21.5,757,64.0,-1426,17,0.233,0.543,5,6.2,80.5,20.7,31.3,19.4,0,Safe
213,Kolar,Tomato,2024,5,38,Summer,0,0,89.5,38.3,57.5,18.0,43.2,742,94.7,-1441,37,0.503,0.6,6,27.7,69.4,23.9,38.5,22.2,0,Safe
214,Hassan,Paddy,2022,11,99,Rabi,0,1,24.4,27.1,69.5,77.2,49.6,2094,209.5,-89,55,0.287,0.788,9,24.0,36.6,21.8,38.1,25.4,1,Alert
215,Chitradurga,Groundnut,2023,10,255,Summer,0,0,55.6,33.2,62.0,31.0,38.8,5520,735.5,3337,66,0.471,0.581,7,20.3,65.1,73.5,54.0,37.1,1,Alert
216,Uttara Kannada,Paddy,2022,9,265,Kharif,1,0,253.6,29.4,71.2,79.1,42.0,2164,244.3,-19,37,0.099,0.755,0,7.6,39.5,24.6,30.8,11.2,0,Safe
217,Chikkaballapur,Tomato,2022,5,73,Summer,0,0,58.9,40.1,65.7,15.2,30.3,761,129.3,-1422,13,0.459,0.667,7,11.5,77.2,27.2,23.1,24.3,0,Safe
218,Chikkamagaluru,Coffee,2022,6,103,Kharif,1,0,159.4,22.8,74.7,40.5,28.1,9279,1165.2,7096,20,0.184,0.702,1,16.9,65.7,116.5,24.9,29.9,1,Alert
219,Bagalkot,Sugarcane,2023,3,207,Summer,0,0,11.1,36.5,72.7,36.3,27.0,3532,319.2,1349,15,0.438,0.618,8,11.0,68.3,31.9,26.6,19.6,0,Safe
220,Bengaluru,Tomato,2022,4,1,Summer,0,0,36.1,35.2,67.8,15.4,35.9,834,105.3,-1349,15,0.182,0.501,5,0.0,74.3,24.0,32.5,15.6,0,Safe
221,Bengaluru,Tomato,2024,4,47,Summer,0,0,43.4,36.8,77.9,19.3,36.4,706,132.0,-1477,41,0.171,0.572,7,16.6,72.2,28.0,41.9,23.5,0,Safe
222,Davangere,Paddy,2023,1,9,Rabi,0,1,6.2,31.2,54.6,58.0,34.9,2269,217.3,86,78,0.385,0.664,7,21.0,53.5,21.7,55.8,18.4,0,Safe
223,Davangere,Paddy,2022,1,8,Rabi,0,1,8.7,32.3,57.8,51.3,46.6,2146,240.6,-37,6,0.331,0.691,4,48.6,51.0,24.4,18.5,18.2,0,Safe
224,Kalaburagi,Soybean,2023,2,333,Rabi,0,1,3.2,36.0,66.8,25.9,36.0,4542,548.0,2359,18,0.6,0.535,13,20.8,69.0,54.8,32.2,31.2,1,Alert
225,Uttara Kannada,Paddy,2023,12,264,Rabi,0,1,19.6,23.7,64.0,94.6,48.5,2287,284.8,104,27,0.162,0.645,2,0.0,28.5,28.5,31.2,13.1,0,Safe
226,Uttara Kannada,Paddy,2022,12,106,Rabi,0,1,16.6,28.6,77.2,80.5,43.0,2270,279.5,87,4,0.0,0.723,4,17.7,38.2,27.9,15.9,14.4,0,Safe
227,Shivamogga,Paddy,2023,2,106,Rabi,0,1,15.3,37.2,61.3,60.6,25.5,2181,254.8,-2,21,0.172,0.785,2,17.1,57.0,25.5,21.2,16.4,0,Safe
228,Ramanagara,Ragi,2023,9,183,Kharif,1,0,59.7,33.2,62.2,41.6,33.0,3930,420.7,1747,125,0.282,0.626,5,0.4,62.7,42.1,81.2,36.3,1,Alert
229,Udupi,Paddy,2022,4,129,Summer,0,0,115.1,35.3,66.6,48.9,39.9,2291,309.2,108,4,0.057,0.8,0,0.0,55.6,30.9,12.0,7.8,0,Safe
230,Bengaluru,Tomato,2023,7,166,Kharif,1,0,48.3,33.4,76.7,23.2,28.6,723,94.0,-1460,20,0.184,0.537,1,31.6,74.1,24.0,33.1,32.2,1,Alert
231,Chikkaballapur,Tomato,2024,10,76,Summer,0,0,64.6,37.4,64.0,37.6,40.7,662,32.5,-1521,152,0.376,0.636,4,5.4,60.8,18.5,94.2,29.8,1,Alert
232,Dharwad,Cotton,2022,10,180,Summer,0,0,71.8,29.9,80.9,44.5,41.0,7064,839.0,4881,5,0.499,0.676,7,1.9,57.2,83.9,18.7,32.9,1,Alert
233,Uttara Kannada,Paddy,2024,6,309,Kharif,1,0,176.1,29.9,90.3,50.8,26.6,2189,294.8,6,0,0.084,0.753,4,4.6,61.3,29.5,12.3,11.2,0,Safe
234,Mandya,Sugarcane,2023,10,305,Summer,0,0,58.7,31.3,51.6,63.2,41.4,3063,439.8,880,6,0.307,0.689,7,11.4,47.7,44.0,18.6,25.7,1,Alert
235,Mandya,Sugarcane,2023,8,73,Kharif,1,0,63.3,29.3,54.2,54.8,33.9,3181,451.8,998,18,0.256,0.708,2,10.4,55.6,45.2,23.6,28.1,1,Alert
236,Chikkaballapur,Tomato,2024,12,241,Rabi,0,1,13.4,29.8,69.7,29.2,33.8,700,20.0,-1483,40,0.419,0.627,10,23.0,68.5,16.8,38.6,25.6,1,Alert
237,Bangalore Rural,Tomato,2024,11,285,Rabi,0,1,26.8,31.2,58.6,34.5,41.4,660,93.6,-1523,33,0.366,0.682,4,4.2,62.0,24.6,32.4,20.7,0,Safe
238,Uttara Kannada,Paddy,2023,4,87,Summer,0,0,73.8,32.4,66.2,48.6,36.1,2373,256.0,190,20,0.054,0.789,3,11.7,57.6,25.6,20.5,15.2,0,Safe
239,Chikkaballapur,Tomato,2022,8,139,Kharif,1,0,46.4,37.0,39.1,41.6,34.7,732,90.0,-1451,5,0.454,0.734,6,40.2,61.8,23.5,15.8,22.8,0,Safe
240,Kalaburagi,Soybean,2022,5,146,Summer,0,0,47.0,39.8,53.1,28.9,31.6,5086,516.6,2903,36,0.539,0.536,6,45.0,69.8,51.7,41.2,34.0,1,Alert
241,Chitradurga,Groundnut,2024,2,203,Rabi,0,1,4.0,36.9,60.2,28.1,16.2,5837,761.1,3654,84,0.493,0.663,7,42.8,77.8,76.1,58.8,40.1,1,Alert
242,Tumkuru,Groundnut,2024,8,190,Kharif,1,0,97.5,34.2,60.7,38.1,26.8,6609,606.4,4426,17,0.341,0.69,7,24.4,67.5,60.6,24.0,32.4,1,Alert
243,Raichur,Paddy,2023,3,41,Summer,0,0,9.0,38.7,51.5,21.5,16.9,2439,258.3,256,79,0.767,0.422,8,50.2,80.8,25.8,68.4,33.5,1,Alert
244,Dharwad,Cotton,2022,2,258,Rabi,0,1,3.8,38.1,62.6,42.2,45.8,7278,843.2,5095,2,0.491,0.682,3,9.1,56.0,84.3,16.9,34.4,1,Alert
245,Bagalkot,Sugarcane,2024,9,242,Kharif,1,0,58.0,36.4,55.7,44.4,23.5,3241,438.4,1058,17,0.566,0.678,8,24.5,66.0,43.8,24.6,24.7,0,Safe
246,Mysuru,Paddy,2023,5,341,Summer,0,0,74.5,37.4,65.1,33.8,39.6,2294,258.7,111,9,0.197,0.857,5,0.6,63.3,25.9,11.7,14.8,0,Safe
247,Bangalore Rural,Tomato,2022,8,56,Kharif,1,0,75.1,35.3,59.6,28.7,42.9,721,141.1,-1462,36,0.308,0.668,3,33.3,64.2,28.7,34.6,22.0,0,Safe
248,Tumkuru,Groundnut,2022,10,233,Summer,0,0,69.3,34.9,66.0,53.0,36.4,6117,758.5,3934,56,0.386,0.635,7,49.6,55.3,75.8,46.2,37.0,1,Alert
249,Uttara Kannada,Paddy,2023,5,363,Summer,0,0,208.3,35.3,76.3,49.4,33.3,2413,264.2,230,26,0.224,0.729,2,0.0,58.7,26.4,26.6,19.8,0,Safe
250,Vijayapura,Soybean,2024,8,362,Kharif,1,0,51.0,40.4,42.0,41.0,40.5,4772,570.6,2589,20,0.561,0.583,5,38.3,59.2,57.1,30.9,24.5,0,Safe
251,Mandya,Sugarcane,2024,9,224,Kharif,1,0,98.5,33.7,63.1,54.5,27.3,3193,401.4,1010,5,0.298,0.779,4,38.7,59.1,40.1,13.5,15.0,0,Safe
252,Bidar,Sorghum,2024,10,221,Summer,0,0,107.6,31.9,60.2,37.8,34.0,2844,382.1,661,31,0.619,0.511,8,11.5,64.1,38.2,40.0,19.3,0,Safe
253,Hassan,Paddy,2023,12,273,Rabi,0,1,8.3,32.9,73.7,68.9,32.7,2181,232.5,-2,29,0.281,0.681,9,35.7,49.2,23.3,30.4,19.0,0,Safe
254,Davangere,Paddy,2024,11,177,Rabi,0,1,13.2,31.6,61.5,59.8,46.4,1928,221.5,-255,5,0.436,0.692,8,10.6,46.9,24.7,17.9,20.5,0,Safe
255,Chamarajanagar,Ragi,2024,5,344,Summer,0,0,88.9,38.3,67.7,36.8,31.8,3923,428.4,1740,5,0.282,0.668,2,7.2,65.7,42.8,19.1,16.7,0,Safe
256,Koppal,Paddy,2023,5,297,Summer,0,0,75.6,41.0,50.1,22.4,30.0,2381,215.1,198,3,0.442,0.578,7,38.8,73.8,21.5,22.6,24.3,0,Safe
257,Bangalore Rural,Tomato,2022,11,93,Rabi,0,1,36.2,30.8,78.9,41.9,55.3,665,47.3,-1518,12,0.336,0.631,7,7.6,51.4,19.9,24.4,17.8,0,Safe
258,Kodagu,Coffee,2022,3,275,Summer,0,0,30.0,26.1,70.8,53.4,20.9,10653,1130.9,8470,34,0.034,0.754,2,7.1,62.8,113.1,29.3,33.2,1,Alert
259,Chamarajanagar,Ragi,2022,1,341,Rabi,0,1,3.1,34.4,68.2,57.1,49.0,3822,448.8,1639,1,0.211,0.674,3,27.3,47.0,44.9,16.8,35.9,1,Alert
260,Tumkuru,Groundnut,2022,6,246,Kharif,1,0,64.0,37.2,67.6,24.3,19.0,6646,738.4,4463,93,0.416,0.698,7,46.8,78.3,73.8,61.6,39.5,1,Alert
261,Kalaburagi,Soybean,2024,8,203,Kharif,1,0,63.3,35.9,59.8,25.4,25.5,4622,599.0,2439,15,0.514,0.533,10,24.0,74.5,59.9,30.8,26.3,1,Alert
262,Haveri,Cotton,2022,4,203,Summer,0,0,21.5,38.6,73.1,33.0,13.0,7572,922.2,5389,11,0.341,0.731,3,8.0,77.0,92.2,19.0,35.3,1,Alert
263,Uttara Kannada,Paddy,2023,11,204,Rabi,0,1,85.3,27.4,86.8,99.3,37.6,2010,318.5,-173,9,0.209,0.786,4,12.7,31.6,33.6,15.2,16.5,0,Safe
264,Haveri,Cotton,2022,4,105,Summer,0,0,33.3,34.1,62.9,33.6,19.5,7067,829.7,4884,67,0.371,0.747,4,34.7,73.5,83.0,46.1,33.8,1,Alert
265,Ramanagara,Ragi,2023,4,363,Summer,0,0,27.1,38.9,67.7,18.0,34.9,4007,454.8,1824,148,0.254,0.66,4,21.1,73.5,45.5,91.0,34.8,1,Alert
266,Kalaburagi,Soybean,2022,9,305,Kharif,1,0,86.8,40.5,69.8,35.8,41.8,4807,662.5,2624,29,0.54,0.524,5,42.3,61.2,66.2,38.3,22.4,0,Safe
267,Davangere,Paddy,2023,7,257,Kharif,1,0,84.9,26.3,71.7,38.6,35.4,2306,278.2,123,13,0.349,0.708,6,0.6,63.0,27.8,21.1,15.4,0,Safe
268,Uttara Kannada,Paddy,2022,3,123,Summer,0,0,21.9,33.3,78.0,56.6,41.4,2406,306.1,223,15,0.131,0.723,7,6.7,51.0,30.6,21.4,16.2,0,Safe
269,Dharwad,Cotton,2022,12,245,Rabi,0,1,10.0,30.9,51.4,38.1,39.5,6757,860.7,4574,28,0.359,0.67,9,34.7,61.2,86.1,30.5,23.8,0,Safe
270,Kolar,Tomato,2022,3,179,Summer,0,0,6.5,35.8,64.3,22.2,34.9,751,20.0,-1432,34,0.41,0.602,8,19.5,71.4,16.3,36.9,31.0,1,Alert
271,Raichur,Paddy,2022,9,330,Kharif,1,0,42.8,32.0,50.5,21.7,27.5,2260,216.4,77,29,0.681,0.506,5,43.6,75.4,21.6,39.2,20.0,0,Safe
272,Haveri,Cotton,2022,6,228,Kharif,1,0,96.4,35.7,68.3,15.6,21.7,6748,809.7,4565,74,0.304,0.693,4,46.9,81.3,81.0,52.4,40.1,1,Alert
273,Vijayapura,Soybean,2022,9,77,Kharif,1,0,74.6,37.1,60.3,54.5,24.8,4388,563.4,2205,34,0.52,0.646,2,43.4,60.4,56.3,34.7,28.0,1,Alert
274,Haveri,Cotton,2024,11,112,Rabi,0,1,25.9,30.0,71.4,61.2,41.2,6988,793.7,4805,21,0.287,0.675,9,20.8,48.8,79.4,26.7,27.3,1,Alert
275,Chamarajanagar,Ragi,2022,8,246,Kharif,1,0,50.5,33.0,55.2,42.2,38.3,3944,413.3,1761,18,0.182,0.693,5,0.0,59.8,41.3,24.4,29.9,1,Alert
276,Haveri,Cotton,2023,6,292,Kharif,1,0,48.1,39.2,72.3,27.3,31.3,7007,820.8,4824,44,0.339,0.728,3,8.5,70.7,82.1,35.6,33.5,1,Alert
277,Bangalore Rural,Tomato,2022,3,122,Summer,0,0,14.0,34.9,71.4,18.2,40.3,733,66.9,-1450,29,0.329,0.715,0,14.4,70.8,21.2,28.8,19.4,0,Safe
278,Haveri,Cotton,2024,12,140,Rabi,0,1,4.8,33.2,53.0,49.0,41.9,7159,878.8,4976,18,0.376,0.694,7,5.4,54.5,87.9,24.3,27.0,1,Alert
279,Kolar,Tomato,2024,10,172,Summer,0,0,161.6,34.0,41.9,29.9,25.9,659,59.8,-1524,11,0.421,0.682,6,30.6,72.1,21.2,21.4,25.0,1,Alert
280,Kolar,Tomato,2022,1,351,Rabi,0,1,4.4,36.1,43.9,28.4,34.8,712,88.5,-1471,1,0.425,0.642,10,39.5,68.4,23.6,18.4,28.0,1,Alert
281,Bengaluru,Tomato,2023,8,218,Kharif,1,0,51.0,34.0,60.7,19.6,35.0,754,91.0,-1429,36,0.177,0.522,5,0.0,72.7,23.4,41.9,21.9,0,Safe
282,Kodagu,Coffee,2024,9,271,Kharif,1,0,293.8,20.5,81.4,88.3,32.5,9578,1126.4,7395,13,0.082,0.821,2,0.0,39.6,112.6,15.5,33.4,1,Alert
